,gvkey,Ticker,Date,Revenue,Cost of Goods Sold,SG&A,EBIT,Net Income,Cash and Cash Equivalents,Recievables,Inventories,Other Current Assets,PP&E,Other Assets,Debt in Current Liabilities,Accounts Payable,Taxes Payable,Other Current Liabilities,Total Liabilities,Adjusted Close,Volume,EBIT/EV
2953,1209,APD,2017-03-31,1980.1,1192.0,192.4,2260.9,2130.0,3292.5,1176.3,391.6,433.7,18716.2,4379.2,542.8,1490.6,544.8,24.1,8451.3,135.29,93500357.0,0.07534680736737982
2954,1209,APD,2017-06-30,2121.9,1269.1,198.7,224.1,101.9,3348.7,1101.2,376.6,520.5,19176.3,4189.8,559.4,1534.3,323.0,16.5,8343.9,143.06,78947935.0,0.007056438949814694
2955,1209,APD,2017-09-30,2203.1,1314.0,200.3,501.9,468.7,3677.6,1455.3,420.2,323.6,19547.8,4150.3,560.4,659.5,98.6,1170.5,8281.7,151.22,88305369.0,0.01507049617789336
2956,1209,APD,2017-12-31,2216.6,1343.9,206.2,479.0,154.6,3129.7,1233.4,432.8,559.6,20040.0,4221.4,98.4,1609.5,110.1,13.6,7887.6,164.08,56739851.0,0.01319300779444663
2957,1209,APD,2018-03-31,2155.7,1266.5,209.1,506.99999999999994,416.4,3203.9,1252.3,438.4,501.7,20522.5,4297.1,124.1,1551.6,76.6,0.0,7817.9,159.03,73084176.0,0.014394812353572995
2958,1209,APD,2018-06-30,2259.0,1299.8,203.6,623.4,473.9,2993.8,1227.6,416.0,418.1,21387.5,4248.5,95.4,1968.4,46.0,0.0,8396.0,155.73,59754354.0,0.017798903960739108
2959,1209,APD,2018-09-30,2298.9,1332.7,206.4,562.7,452.9,2976.0,1438.3,473.6,194.3,21490.2,4172.4,460.9,924.6,59.6,893.2,8002.0,167.05,60294987.0,0.015002633739414753
4655,1380,HES,1990-03-31,1654.531,1202.142,164.541,138.683,39.666,84.195,500.69,952.897,64.405,9349.926,471.508,169.465,417.736,187.387,422.336,3980.906,15.791666666666666,15170597.0,0.022432918544410388
4656,1380,HES,1990-06-30,1222.599,924.21,171.707,-19.933000000000007,-72.119,99.783,383.321,927.439,67.87,9620.66,473.391,160.693,289.466,155.988,423.263,3963.295,14.708333333333334,15421500.0,-0.0033164146218729144
4657,1380,HES,1990-09-30,1741.889,973.097,201.698,433.37700000000007,279.983,162.274,928.978,1269.658,152.416,10145.453,527.053,313.577,791.54,271.456,599.654,5027.282,17.0,20662293.0,0.06492943979729675
4658,1380,HES,1990-12-31,2328.486,1609.476,251.059,322.471,235.183,129.914,1627.165,1345.732,177.074,11157.98,213.167,393.311,1442.002,271.296,570.032,5950.604,15.458333333333334,9831000.0,0.049212475217716586
4659,1380,HES,1991-03-31,1957.804,1440.599,215.092,187.446,75.664,150.875,1040.477,807.674,178.979,11107.457,154.189,132.232,1046.51,196.861,491.794,4726.523,15.583333333333334,14866295.0,0.03199682909692762
4660,1380,HES,1991-06-30,1391.729,941.168,220.435,95.81300000000002,67.781,82.471,1000.033,876.755,169.925,11248.821,155.21,91.456,911.549,172.422,514.198,4726.547,17.125,11817798.0,0.01473896213250614
4661,1380,HES,1991-09-30,1311.427,887.701,197.476,71.78800000000001,-7.502,125.346,888.267,1095.178,185.766,11929.875,145.173,154.079,810.179,162.349,489.729,5240.614,18.833333333333332,10516100.0,0.009644140252463462
4662,1380,HES,1991-12-31,1605.885,1140.364,250.729,-0.45599999999998886,-51.635,120.17,1195.147,975.407,185.411,12529.828,174.7,243.543,1046.331,108.613,452.278,5709.452,15.833333333333334,14163998.0,-6.517306951579538e-05
4663,1380,HES,1992-03-31,1429.927,1011.518,182.265,56.999,-23.418,88.814,870.344,801.961,184.425,12556.035,167.08,107.462,797.194,115.087,400.787,5236.665,12.333333333333334,21790694.0,0.0093652161554456
4664,1380,HES,1992-06-30,1457.723,982.739,197.946,108.426,4.388,126.693,813.284,946.59,221.546,13262.618,165.757,102.79,879.844,144.545,437.443,5175.749,15.083333333333334,23617797.0,0.015634781223770662
4665,1380,HES,1992-09-30,1411.775,929.564,207.24,106.66499999999999,8.671,81.563,843.08,1079.949,233.972,13360.317,166.628,90.72,840.577,178.97,454.389,5385.78,15.958333333333334,14709793.0,0.014258445299106779
